Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Functions	Computed GO Process IDs	Computed GO Processes	Curated GO Component IDs	Curated GO Components	Curated GO Function IDs	Curated GO Functions	Curated GO Process IDs	Curated GO Processes	EC numbers	EC numbers from OrthoMCL
PF3D7_1239100	PF3D7_1239100.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,626,020..1,628,546(+)	ribosomal protein L23, mitochondrial	GO:0005840	ribosome	GO:0003735	structural constituent of ribosome	GO:0006412	translation	GO:0005762;GO:0005739;GO:0005840	mitochondrial large ribosomal subunit;mitochondrion;ribosome	GO:0003735	structural constituent of ribosome	GO:0032543;GO:0006412	mitochondrial translation;translation	N/A	N/A
PF3D7_1239200	PF3D7_1239200.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,633,606..1,642,562(+)	AP2 domain transcription factor, putative	GO:0005634	nucleus	GO:0003700	DNA-binding transcription factor activity	GO:0006355	regulation of transcription, DNA-templated	GO:0000792;GO:0005634	heterochromatin;nucleus	GO:0003677	DNA binding	GO:0006355	regulation of transcription, DNA-templated	N/A	N/A
PF3D7_1239300	PF3D7_1239300.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,644,546..1,646,283(+)	zinc finger protein, putative	N/A	N/A	GO:0046872	metal ion binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_1239400	PF3D7_1239400.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,646,612..1,647,151(-)	conserved protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_1239500	PF3D7_1239500.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,648,422..1,652,428(+)	DNA gyrase subunit B	N/A	N/A	GO:0005524;GO:0003677;GO:0003918	ATP binding;DNA binding;DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	GO:0006265	DNA topological change	GO:0020011	apicoplast	GO:0005524;GO:0016887;GO:0003918;GO:0046983	ATP binding;ATP hydrolysis activity;DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity;protein dimerization activity	GO:0006265;GO:0009410	DNA topological change;response to xenobiotic stimulus	5.6.2.2 (DNA topoisomerase (ATP-hydrolyzing));5.99.1.3 (Transferred entry: 5.6.2.2)	1.1.1.- (With NAD(+) or NADP(+) as acceptor.);1.8.1.4 (Dihydrolipoyl dehydrogenase);5.6.2.2 (DNA topoisomerase (ATP-hydrolyzing));5.99.1.3 (Transferred entry: 5.6.2.2)
PF3D7_1239600	PF3D7_1239600.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,652,687..1,654,402(-)	hydroxyethylthiazole kinase	N/A	N/A	GO:0005524;GO:0004417;GO:0046872	ATP binding;hydroxyethylthiazole kinase activity;metal ion binding	GO:0009228;GO:0009229	thiamine biosynthetic process;thiamine diphosphate biosynthetic process	N/A	N/A	GO:0004417	hydroxyethylthiazole kinase activity	GO:0009228	thiamine biosynthetic process	2.7.1.50 (Hydroxyethylthiazole kinase)	2.5.1.3 (Thiamine phosphate synthase);2.7.1.50 (Hydroxyethylthiazole kinase)
PF3D7_1239700	PF3D7_1239700.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,654,438..1,658,821(+)	ATP-dependent zinc metalloprotease FTSH 1	GO:0016021;GO:0016020	integral component of membrane;membrane	GO:0005524;GO:0016887;GO:0004176;GO:0004222	ATP binding;ATP hydrolysis activity;ATP-dependent peptidase activity;metalloendopeptidase activity	GO:0006508	proteolysis	GO:0020011;GO:0005739	apicoplast;mitochondrion	GO:0005524;GO:0004176;GO:0004222	ATP binding;ATP-dependent peptidase activity;metalloendopeptidase activity	GO:0009657;GO:0006508;GO:0009410	plastid organization;proteolysis;response to xenobiotic stimulus	3.4.24.- (Metalloendopeptidases.)	3.4.24.- (Metalloendopeptidases.);3.5.4.16 (GTP cyclohydrolase I);3.6.4.- (Acting on ATP; involved in cellular and subcellular movement.);3.6.4.12 (DNA helicase);3.6.4.3 (Transferred entry: 5.6.1.1);6.3.4.19 (tRNA(Ile)-lysidine synthetase)
PF3D7_1239800	PF3D7_1239800.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,660,331..1,678,083(+)	conserved Plasmodium protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005634	nucleus	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_1239900	PF3D7_1239900.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,678,397..1,682,107(-)	vacuolar protein sorting-associated protein 16, putative	GO:0005737	cytoplasm	N/A	N/A	GO:0006886;GO:0007033	intracellular protein transport;vacuole organization	GO:0030897;GO:0005768	HOPS complex;endosome	GO:0003779	actin binding	GO:0016197;GO:0035542;GO:0032889	endosomal transport;regulation of SNARE complex assembly;regulation of vacuole fusion, non-autophagic	N/A	N/A
PF3D7_1240000	PF3D7_1240000.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,682,613..1,684,787(+)	3-hydroxyisobutyryl-CoA hydrolase, putative	GO:0005739	mitochondrion	GO:0003860	3-hydroxyisobutyryl-CoA hydrolase activity	N/A	N/A	GO:0005739	mitochondrion	GO:0003860	3-hydroxyisobutyryl-CoA hydrolase activity	GO:0006574	valine catabolic process	3.1.2.4 (3-hydroxyisobutyryl-CoA hydrolase)	3.1.2.4 (3-hydroxyisobutyryl-CoA hydrolase)
PF3D7_1240100	PF3D7_1240100.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,684,977..1,686,307(-)	early transcribed membrane protein 12	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_1240200	PF3D7_1240200.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,688,606..1,691,162(-)	erythrocyte membrane protein 1 (PfEMP1), pseudogene	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_1240300	PF3D7_1240300.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,694,150..1,703,087(+)	erythrocyte membrane protein 1, PfEMP1	GO:0016021	integral component of membrane	GO:0046789	host cell surface receptor binding	GO:0009405	obsolete pathogenesis	GO:0020002;GO:0020030	host cell plasma membrane;infected host cell surface knob	GO:0050839;GO:0046789	cell adhesion molecule binding;host cell surface receptor binding	GO:0020033;GO:0098609;GO:0020035;GO:0020013	antigenic variation;cell-cell adhesion;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation	N/A	2.7.11.1 (Non-specific serine/threonine protein kinase)
PF3D7_1240400	PF3D7_1240400.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,704,274..1,712,936(+)	erythrocyte membrane protein 1, PfEMP1	GO:0016021	integral component of membrane	GO:0046789	host cell surface receptor binding	GO:0009405	obsolete pathogenesis	GO:0020002;GO:0020030	host cell plasma membrane;infected host cell surface knob	GO:0050839;GO:0046789	cell adhesion molecule binding;host cell surface receptor binding	GO:0020033;GO:0098609;GO:0020035;GO:0020013	antigenic variation;cell-cell adhesion;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation	N/A	N/A
PF3D7_1240500	PF3D7_1240500.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,715,847..1,715,981(-)	Plasmodium RNA of unknown function RUF6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_1240600	PF3D7_1240600.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,719,574..1,727,456(+)	erythrocyte membrane protein 1, PfEMP1	GO:0016021	integral component of membrane	GO:0046789	host cell surface receptor binding	GO:0009405	obsolete pathogenesis	GO:0020002;GO:0020030	host cell plasma membrane;infected host cell surface knob	GO:0050839;GO:0046789	cell adhesion molecule binding;host cell surface receptor binding	GO:0020033;GO:0098609;GO:0020035;GO:0020013	antigenic variation;cell-cell adhesion;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation	N/A	N/A
PF3D7_1240700	PF3D7_1240700.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,728,774..1,730,007(+)	rifin, pseudogene	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_1240800	PF3D7_1240800.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,731,821..1,731,955(-)	Plasmodium RNA of unknown function RUF6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_1240900	PF3D7_1240900.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,734,992..1,744,191(+)	erythrocyte membrane protein 1, PfEMP1	GO:0016021	integral component of membrane	GO:0046789	host cell surface receptor binding	GO:0009405	obsolete pathogenesis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.11.1 (Non-specific serine/threonine protein kinase)
PF3D7_1241000	PF3D7_1241000.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,745,289..1,745,423(-)	Plasmodium RNA of unknown function RUF6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_1241100	PF3D7_1241100.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,746,049..1,748,494(-)	polyadenylation factor subunit 2, putative	N/A	N/A	GO:0005515	protein binding	N/A	N/A	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	N/A	N/A	GO:0006379;GO:0006378	mRNA cleavage;mRNA polyadenylation	N/A	2.3.1.48 (Histone acetyltransferase)
PF3D7_1241200	PF3D7_1241200.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,748,659..1,756,683(-)	nucleoporin NUP269, putative	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0034399	nuclear periphery	GO:0004672	protein kinase activity	GO:0006468	protein phosphorylation	N/A	N/A
PF3D7_1241300	PF3D7_1241300.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,757,506..1,759,613(-)	ribosome-binding factor A, putative	N/A	N/A	N/A	N/A	GO:0006364	rRNA processing	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_1241400	PF3D7_1241400.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,759,687..1,768,105(-)	female development protein FD1, putative	N/A	N/A	GO:0003723;GO:0003676	RNA binding;nucleic acid binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_1241500	PF3D7_1241500.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,771,518..1,773,908(-)	conserved Plasmodium protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	GO:0048471	perinuclear region of cytoplasm	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_1241600	PF3D7_1241600.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,774,021..1,776,962(+)	S-adenosylmethionine mitochondrial carrier protein	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0005743;GO:0005739	mitochondrial inner membrane;mitochondrion	GO:0000095	S-adenosyl-L-methionine transmembrane transporter activity	GO:1901962	S-adenosyl-L-methionine transmembrane transport	N/A	N/A
PF3D7_1241700	PF3D7_1241700.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,777,080..1,779,980(+)	replication factor C subunit 4, putative	N/A	N/A	GO:0005524;GO:0016887;GO:0003677	ATP binding;ATP hydrolysis activity;DNA binding	GO:0006260	DNA replication	GO:0005663;GO:0005634	DNA replication factor C complex;nucleus	GO:0005524;GO:0003689	ATP binding;DNA clamp loader activity	GO:0006281;GO:0006260;GO:0006261;GO:0006272;GO:0009410	DNA repair;DNA replication;DNA-dependent DNA replication;leading strand elongation;response to xenobiotic stimulus	N/A	2.7.-.- (Transferring phosphorus-containing groups.);2.7.7.7 (DNA-directed DNA polymerase);6.3.2.3 (Glutathione synthase)
PF3D7_1241800	PF3D7_1241800.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,779,442..1,783,743(-)	ATP-dependent RNA helicase DBP9, putative	N/A	N/A	GO:0005524;GO:0004386;GO:0003676	ATP binding;helicase activity;nucleic acid binding	N/A	N/A	GO:0043186;GO:0005634	P granule;nucleus	GO:0003723;GO:0003724	RNA binding;RNA helicase activity	GO:0016070	RNA metabolic process	3.6.4.13 (RNA helicase)	3.6.4.13 (RNA helicase)
PF3D7_1241900	PF3D7_1241900.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,783,520..1,787,102(+)	tetratricopeptide repeat protein, putative	GO:0016021	integral component of membrane	GO:0005515	protein binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_1242000	PF3D7_1242000.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,786,955..1,788,989(-)	sulfhydryl oxidase, putative	N/A	N/A	GO:0016971;GO:0016972	flavin-linked sulfhydryl oxidase activity;thiol oxidase activity	GO:0055114	oxidation-reduction process	GO:0020011;GO:0009986;GO:0005737;GO:0005615;GO:0030173	apicoplast;cell surface;cytoplasm;extracellular space;integral component of Golgi membrane	GO:0016971;GO:0003756;GO:0016972	flavin-linked sulfhydryl oxidase activity;protein disulfide isomerase activity;thiol oxidase activity	GO:0006457	protein folding	1.8.3.2 (Thiol oxidase)	1.8.3.2 (Thiol oxidase);3.5.2.17 (Hydroxyisourate hydrolase)
PF3D7_1242100	PF3D7_1242100.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,790,348..1,790,763(+)	conserved Plasmodium protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_1242200	PF3D7_1242200.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,791,156..1,793,341(+)	queuine tRNA-ribosyltransferase, putative	N/A	N/A	GO:0016763	pentosyltransferase activity	GO:0006400	tRNA modification	GO:0020011;GO:0005737;GO:0005739	apicoplast;cytoplasm;mitochondrion	GO:0008479	queuine tRNA-ribosyltransferase activity	GO:0002099	tRNA wobble guanine modification	2.4.2.29 (tRNA-guanine(34) transglycosylase)	2.4.2.29 (tRNA-guanine(34) transglycosylase)
PF3D7_1242300	PF3D7_1242300.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,793,174..1,795,330(-)	conserved Plasmodium membrane protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_1242400	PF3D7_1242400.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,795,820..1,798,227(+)	GAS8-like protein, putative	GO:0031514	motile cilium	GO:0008017	microtubule binding	GO:0048870	cell motility	GO:0005794;GO:0005874	Golgi apparatus;microtubule	N/A	N/A	GO:0034613	cellular protein localization	N/A	N/A
PF3D7_1242500	PF3D7_1242500.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,798,386..1,800,204(+)	conserved protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_1242600	PF3D7_1242600.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,800,215..1,802,786(+)	protein farnesyltransferase subunit alpha	N/A	N/A	GO:0004660;GO:0008318	protein farnesyltransferase activity;protein prenyltransferase activity	GO:0018342	protein prenylation	GO:0005953;GO:0005737;GO:0005965	CAAX-protein geranylgeranyltransferase complex;cytoplasm;protein farnesyltransferase complex	N/A	N/A	GO:0018343;GO:0018344	protein farnesylation;protein geranylgeranylation	2.5.1.58 (Protein farnesyltransferase);2.5.1.60 (Protein geranylgeranyltransferase type II)	2.5.1.58 (Protein farnesyltransferase);2.5.1.60 (Protein geranylgeranyltransferase type II)
PF3D7_1242700	PF3D7_1242700.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,803,130..1,804,735(+)	40S ribosomal protein S17, putative	GO:0005840	ribosome	GO:0003735	structural constituent of ribosome	GO:0006412	translation	GO:0022627;GO:0005739;GO:0005634	cytosolic small ribosomal subunit;mitochondrion;nucleus	GO:0003723;GO:0003735	RNA binding;structural constituent of ribosome	GO:0006412	translation	N/A	N/A
PF3D7_1242800	PF3D7_1242800.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,805,206..1,808,574(-)	rab specific GDP dissociation inhibitor	N/A	N/A	GO:0005092;GO:0005093	GDP-dissociation inhibitor activity;Rab GDP-dissociation inhibitor activity	GO:0015031;GO:0007264	protein transport;small GTPase mediated signal transduction	GO:0005737;GO:0005634	cytoplasm;nucleus	GO:0005096;GO:0005093	GTPase activator activity;Rab GDP-dissociation inhibitor activity	GO:0016192	vesicle-mediated transport	N/A	2.4.2.31 (NAD(+)--protein-arginine ADP-ribosyltransferase)
PF3D7_1242900	PF3D7_1242900.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,808,623..1,811,076(-)	mitochondrial import inner membrane translocase subunit TIM13, putative	GO:0005758	mitochondrial intermembrane space	N/A	N/A	GO:0072321	obsolete chaperone-mediated protein transport	GO:0005743;GO:0005739	mitochondrial inner membrane;mitochondrion	GO:0015450	protein-transporting ATPase activity	GO:0006626	protein targeting to mitochondrion	N/A	N/A
PF3D7_1243000	PF3D7_1243000.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,811,237..1,812,819(+)	syntaxin-16, putative	GO:0031201;GO:0016020	SNARE complex;membrane	GO:0005484	SNAP receptor activity	GO:0006886;GO:0016192	intracellular protein transport;vesicle-mediated transport	GO:0031201;GO:0012505;GO:0016021;GO:0005802	SNARE complex;endomembrane system;integral component of membrane;trans-Golgi network	GO:0005484;GO:0000149	SNAP receptor activity;SNARE binding	GO:0006886;GO:0048278;GO:0006906	intracellular protein transport;vesicle docking;vesicle fusion	N/A	N/A
PF3D7_1243100	PF3D7_1243100.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,813,319..1,814,381(-)	U4/U6.U5 small nuclear ribonucleoprotein component SNU23, putative	GO:0005681	spliceosomal complex	GO:0003676;GO:0008270	nucleic acid binding;zinc ion binding	GO:0000398	mRNA splicing, via spliceosome	GO:0046540;GO:0005634	U4/U6 x U5 tri-snRNP complex;nucleus	N/A	N/A	GO:0000398	mRNA splicing, via spliceosome	N/A	N/A
PF3D7_1243200	PF3D7_1243200.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,815,311..1,815,562(+)	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST5, putative	GO:0016021;GO:0034998	integral component of membrane;oligosaccharyltransferase I complex	GO:0016740	transferase activity	GO:0006487	protein N-linked glycosylation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_1243300	PF3D7_1243300.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,816,069..1,816,448(-)	conserved Plasmodium protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_1243400	PF3D7_1243400.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,818,146..1,820,497(+)	conserved Plasmodium protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	GO:0045177	apical part of cell	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_1243500	PF3D7_1243500.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,820,308..1,822,837(-)	vacuolar-sorting protein SNF7, putative	N/A	N/A	N/A	N/A	GO:0007034	vacuolar transport	GO:0000815;GO:0009898;GO:0005771	ESCRT III complex;cytoplasmic side of plasma membrane;multivesicular body	N/A	N/A	GO:0032511;GO:0006900	late endosome to vacuole transport via multivesicular body sorting pathway;vesicle budding from membrane	N/A	N/A
PF3D7_1243600	PF3D7_1243600.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,824,516..1,827,780(+)	translation initiation factor SUI1, putative	N/A	N/A	GO:0003743	translation initiation factor activity	GO:0006413	translational initiation	GO:0005634	nucleus	GO:0003723;GO:0003743	RNA binding;translation initiation factor activity	GO:0006413	translational initiation	N/A	N/A
PF3D7_1243700	PF3D7_1243700.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,829,026..1,833,409(+)	fused toes protein homolog FTS, putative	N/A	N/A	GO:0016874	ligase activity	N/A	N/A	GO:0005634	nucleus	GO:0061631	ubiquitin conjugating enzyme activity	GO:0006974;GO:0000209	cellular response to DNA damage stimulus;protein polyubiquitination	6.3.2.19 (Transferred entry: 2.3.2.23, 2.3.2.27 and 6.2.1.45)	6.3.2.19 (Transferred entry: 2.3.2.23, 2.3.2.27 and 6.2.1.45)
PF3D7_1243800	PF3D7_1243800.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,830,996..1,833,694(-)	WD repeat-containing protein 82, putative	GO:0048188	Set1C/COMPASS complex	GO:0005515	protein binding	N/A	N/A	GO:0048188;GO:0000785;GO:0035097	Set1C/COMPASS complex;chromatin;histone methyltransferase complex	GO:0003682	chromatin binding	GO:0051568;GO:0080182	histone H3-K4 methylation;histone H3-K4 trimethylation	N/A	N/A
PF3D7_1243900	PF3D7_1243900.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,833,874..1,841,201(-)	double C2-like domain-containing protein	N/A	N/A	N/A	N/A	N/A	N/A	GO:0031410;GO:0020002	cytoplasmic vesicle;host cell plasma membrane	GO:0005544	calcium-dependent phospholipid binding	GO:0044409	entry into host	N/A	N/A
PF3D7_1244000	PF3D7_1244000.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,841,647..1,846,073(-)	glucose inhibited division protein a homologue, putative	N/A	N/A	GO:0050660	flavin adenine dinucleotide binding	GO:0008033	tRNA processing	GO:0020011;GO:0005739	apicoplast;mitochondrion	GO:0050660	flavin adenine dinucleotide binding	GO:0070899;GO:0030488;GO:0002098	mitochondrial tRNA wobble uridine modification;tRNA methylation;tRNA wobble uridine modification	N/A	2.3.1.- (Transferring groups other than amino-acyl groups.)
PF3D7_1244100	PF3D7_1244100.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,846,776..1,852,556(+)	N-alpha-acetyltransferase 15, NatA auxiliary subunit, putative	N/A	N/A	GO:0016746;GO:0005515	acyltransferase activity;protein binding	N/A	N/A	GO:0005737;GO:0005634	cytoplasm;nucleus	N/A	N/A	GO:0017196	N-terminal peptidyl-methionine acetylation	2.3.1.88 (Transferred entry: 2.3.1.254, 2.3.1.255, 2.3.1.256, 2.3.1.257, 2.3.1.258and 2.3.1.259)	2.3.1.88 (Transferred entry: 2.3.1.254, 2.3.1.255, 2.3.1.256, 2.3.1.257, 2.3.1.258and 2.3.1.259)
PF3D7_1244200	PF3D7_1244200.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,852,659..1,857,347(-)	RNA polymerase II transcription factor B subunit 2, putative	GO:0000439	transcription factor TFIIH core complex	GO:0001671	ATPase activator activity	GO:0006289	nucleotide-excision repair	GO:0020036;GO:0000439;GO:0005675	Maurer's cleft;transcription factor TFIIH core complex;transcription factor TFIIH holo complex	GO:0003690	double-stranded DNA binding	GO:0006289;GO:0070816;GO:0006366	nucleotide-excision repair;phosphorylation of RNA polymerase II C-terminal domain;transcription by RNA polymerase II	2.7.7.6 (DNA-directed RNA polymerase)	N/A
PF3D7_1244300	PF3D7_1244300.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,857,849..1,858,090(+)	ACEA small nucleolar RNA U3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_1244400	PF3D7_1244400.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,859,656..1,866,652(+)	RNA-binding protein, putative	N/A	N/A	GO:0003676	nucleic acid binding	N/A	N/A	GO:0020011;GO:1990904	apicoplast;ribonucleoprotein complex	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_1244500	PF3D7_1244500.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,864,229..1,866,661(-)	PIMMS57 protein	N/A	N/A	N/A	N/A	N/A	N/A	GO:0009986;GO:0005737	cell surface;cytoplasm	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_1244600	PF3D7_1244600.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,868,217..1,870,149(-)	ADP-ribosylation factor GTPase-activating protein 1	GO:0000139	Golgi membrane	GO:0005096;GO:0046872	GTPase activator activity;metal ion binding	N/A	N/A	GO:0005829	cytosol	GO:0003677;GO:0005096	DNA binding;GTPase activator activity	GO:0048205	COPI coating of Golgi vesicle	N/A	N/A
PF3D7_1244700	PF3D7_1244700.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,870,456..1,873,215(+)	conserved protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_1244800	PF3D7_1244800.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,872,831..1,876,270(-)	translation machinery-associated protein 46, putative	N/A	N/A	GO:0046872	metal ion binding	N/A	N/A	GO:0005829;GO:0005634	cytosol;nucleus	N/A	N/A	GO:0002181	cytoplasmic translation	N/A	N/A
PF3D7_1244900	PF3D7_1244900.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,875,531..1,880,492(+)	conserved Plasmodium protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_1245000	PF3D7_1245000.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,879,903..1,881,465(-)	5-formyltetrahydrofolate cyclo-ligase, putative	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	GO:0030272	5-formyltetrahydrofolate cyclo-ligase activity	GO:0009396;GO:0035999;GO:0046653	folic acid-containing compound biosynthetic process;tetrahydrofolate interconversion;tetrahydrofolate metabolic process	6.3.3.2 (5-formyltetrahydrofolate cyclo-ligase)	6.3.3.2 (5-formyltetrahydrofolate cyclo-ligase)
PF3D7_1245100	PF3D7_1245100.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,882,683..1,888,206(+)	kinesin-13, putative	N/A	N/A	GO:0005524;GO:0008017;GO:0003777	ATP binding;microtubule binding;microtubule motor activity	GO:0007018	microtubule-based movement	GO:0005737;GO:0005871;GO:0000776;GO:0005634	cytoplasm;kinesin complex;kinetochore;nucleus	GO:0003774	cytoskeletal motor activity	GO:0035082;GO:0007018	axoneme assembly;microtubule-based movement	N/A	N/A
PF3D7_1245200	PF3D7_1245200.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,887,812..1,892,853(-)	conserved Plasmodium membrane protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016020	membrane	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_1245300	PF3D7_1245300.1	Plasmodium falciparum 3D7	Pf3D7_12_v3:1,892,918..1,894,243(+)	NEDD8-conjugating enzyme UBC12, putative	N/A	N/A	GO:0005524;GO:0016874	ATP binding;ligase activity	N/A	N/A	GO:0005634	nucleus	GO:0019788;GO:0061631;GO:0004842	NEDD8 transferase activity;ubiquitin conjugating enzyme activity;ubiquitin-protein transferase activity	GO:0045116;GO:0000209	protein neddylation;protein polyubiquitination	6.3.2.19 (Transferred entry: 2.3.2.23, 2.3.2.27 and 6.2.1.45)	6.3.2.19 (Transferred entry: 2.3.2.23, 2.3.2.27 and 6.2.1.45)
